grad,board_index,board_number,weight,solved,status,move_count,elapsed_seconds,moves
17,147,148,0.5,True,finished,36,1.68,RLDURDDRLUURRRDDRDLDUUUULLDRURDDDRDL
17,148,149,0.5,False,timeout,0,350.22,
17,171,172,0.5,True,finished,28,12.31,LDDDUULLRRURRDLLLRDDRDDLLLUU
17,176,177,0.5,True,finished,50,55.57,LDDDLLDLDDLLURLLDRRRRDRRULLLLDLUULUURUULDDDDRUUULU
16,0,1,1.0,True,finished,12,0.01,DRRULLURDRRR
16,2,3,1.0,True,finished,16,0.10,LDDURLURDRLDDRUR
16,3,4,1.0,True,finished,13,0.02,RLLUURRDRDLUL
16,5,6,1.0,True,finished,30,0.06,UURLUDDDRRRUULLRRDDLUDLLUURRDR
16,8,9,1.0,False,timeout,0,350.29,
16,9,10,1.0,True,finished,51,51.93,UULLLLRRRRDRDLUULLDRRURDRDLDDDDLDLLURRDRUUUUURULLLL
16,11,12,1.0,True,finished,15,0.02,LDURDUURRDDLLUL
16,12,13,1.0,True,finished,51,56.31,DRLURRDLDDDLDDDRRRRRURUUURULULLLLULLDRRRRRURDDDDDLD
16,13,14,1.0,False,finished,161,333.80,ULUULLDDLUDRRDDUULULRRURRDDUULLDDDDDULUULURURRRDDLLURLLDRDDLUDRDDLRUULUULURRDRRDDRRDDUULLDRLUUULLDDDDLUUUULURURDDDDUURRULLDDDLDDRUUULURRURDDDRDDUURDUUURUULDDDDLD
16,16,17,1.0,False,timeout,0,350.29,
16,17,18,1.0,True,finished,46,28.32,RRDRRUDLLULLRRRDDDRDDLLLULULUULURLLUURRDDDDLDR
16,19,20,1.0,True,finished,48,59.50,RDLRRDRUDDDDLLULURRURRRDRRUULDUULDRDLLLULDRDLLDL
16,20,21,1.0,False,timeout,0,350.32,
16,22,23,1.0,True,finished,69,132.65,LURRRDRRRDRDLRDDDDLLLLURURDUURLDRLDLDRRUUUURUUDDLURULLULLDLDURURRDLDL
16,23,24,1.0,True,finished,13,0.05,RRULDLDDRUURU
16,24,25,1.0,True,finished,48,59.39,RRDLRULLLDDRURRDRRDDDLLDLULLLDURRRRUURDRDLLLLLDL
16,25,26,1.0,False,finished,105,234.34,UURDUURDRRRRDRDDLDDLLLRRRUUUURULLRULDLLLULDLDDRLDDDUUURDUULURRRLLDDRRDLLUUURRRRURDDRDDLUURULLLLLULDDDLDRR
16,26,27,1.0,True,finished,19,3.57,DRRLLUUURRDLULDDDRD
